İl Toplam CHP DP BĞMZ İl Toplam CHP DP BĞMZ
Çorum 7 4 2 1 0 Rize 4 3 1 0 0
Denizli 7 4 3 0 0 Sakarya 6 3 2 0 1
Diyarbakır 7 1 3 0 3 Samsun 11 7 4 0 0
Edirne 5 2 2 0 1 Siirt 4 0 2 0 2
Elazığ 5 2 2 1 0 Sinop 4 1 2 1 0
Erzincan 4 0 2 0 2 Sivas 11 0 5 1 5
Erzurum 9 0 3 2 4 Tekirdağ 4 0 2 0 2
Eskişehir 6 3 2 1  Tokat 7 1 3 0 3
Gaziantep 7 2 4 0 1 Trabzon 9 5 4 0 0
Giresun 6 0 2 1 3 Tunceli 2 0 1 0 1
Gümüşhane 4 1 2 0 1 Urfa 7 1 4 0 2
Hakkari 1 0 1 0 0 Uşak 3 0 2 1 0
Hatay 7 1 3 0 3 Van 3 0 0 0 3
Isparta 4 3 1 0 0 Yozgat 6 0 2 4 0
İçel 7 4 3 0 0 Zonguldak 9 5 3 1 0
İstanbul 31 14 12 4 1 13

İl Toplam AP CHP CKMP PARTİSİ TİP YTP BĞMZ İl Toplam AP CHP CKMP PARTİSİ TİP YTP BĞMZ
Toplam 450 240 134 11 31 14 19 1
Adana 12 7 4 0 0 1 0 0 İzmir 17 11 5 0 0 1 0 0
Adıyaman 4 2 1 0 0 0 1 0 Kars 9 3 3 0 0 1 2 0
Afyon 7 4 1 1 1 0 0 0 Kastamonu 7 4 1 1 1 0 0 0
Ağrı 3 1 0 1 0 0 1 0 Kayseri 8 4 3 0 1 0 0 0
Amasya 4 2 1 0 1 0 0 0 Kırklareli 4 3 1 0 0 0 0 0
Ankara 21 10 6 1 3 1 0 0 Kırşehir 3 1 1 0 1 0 0 0
Antalya 7 5 2 0 0 0 0 0 Kocaeli 5 3 2 0 0 0 0 0
Artvin 3 2 1 0 0 0 0 0 Konya 16 9 4 0 2 1 0 0
Aydın 8 6 2 0 0 0 0 0 Kütahya 6 4 1 0 1 0 0 0
Balıkesir 11 7 3 0 1 0 0 0 Malatya 6 2 3 0 0 1 0 0
Bilecik 2 1 1 0 0 0 0 0 Manisa 11 7 3 0 1 0 0 0
Bingöl 2 0 1 0 0 0 1 0 Maraş 6 3 2 0 1 0 0 0
Bitlis 2 1 1 0 0 0 0 0 Mardin 6 1 2 2 0 0 1 0
Bolu 6 4 1 0 1 0 0 0 Muğla 5 3 2 0 0 0 0 0
Burdur 3 2 1 0 0 0 0 0 Muş 3 1 1 1 0 0 0 0
Bursa 11 8 3 0 0 0 0 0 Nevşehir 3 1 1 0 1 0 0 0
Çanakkale 5 3 2 0 0 0 0 0 Niğde 5 2 1 1 1 0 0 0
Çankırı 4 2 1 0 1 0 0 0 Ordu 8 4 3 0 0 0 1 0
Çorum 7 4 2 0 1 0 0 0 Rize 4 3 1 0 0 0 0 0
Denizli 7 4 2 0 0 1 0 0 Sakarya 6 4 1 0 0 0 1 0
Diyarbakır 7 2 2 0 0 1 2 0 Samsun 11 6 4 0 1 0 0 0
Edirne 4 2 1 0 1 0 0 0 Siirt 4 2 1 0 0 0 1 0
Elazığ 5 3 2 0 0 0 0 0 Sinop 4 1 1 1 1 0 0 0
Erzincan 4 2 1 0 0 0 1 0 Sivas 11 4 4 1 1 0 1 0
Erzurum 9 5 2 0 1 0 1 0 Tekirdağ 4 2 1 0 0 1 0 0
Eskişehir 6 4 2 0 0  0 0 Tokat 7 4 3 0 0 0 0 0
Gaziantep 7 4 3 0 0 0 0 0 Trabzon 9 5 3 0 1 0 0 0
Giresun 6 3 2 0 1 0 0 0 Tunceli 2 1 1 0 0 0 0 0
Gümüşhane 4 2 1 0 0 0 1 0 Urfa 7 3 2 0 0 1 1 0
Hakkari 1 0 0 0 0 0 1 0 Uşak 3 2 1 0 0 0 0 0
Hatay 7 4 2 0 0 1 0 0 Van 4 1 2 0 0 0 1 0
Isparta 4 2 1 0 0 0 1 0 Yozgat 6 2 2 0 1 1 0 0
İçel 7 4 2 0 1 0 0 0 Zonguldak 9 6 2 0 1 0 0 0
İstanbul 31 16 9 1 2 2 0 1

İl Toplam AP CHP GP MİLLETPARTİSİ MHP BİRLİKPARTİSİ TİP YTP BĞMZ İl Toplam AP CHP GP MİLLETPARTİSİ MHP BİRLİKPARTİSİ TİP YTP BĞMZ
Toplam 450 256 143 15 6 1 8 2 6 13
Adana 13 6 5 1 0 1 0 0 0 0 İzmir 18 11 7 0 0 0 0 0 0 0
Adıyaman 4 1 2 0 0 0 0 0 0 1 Kars 9 5 4 0 0 0 0 0 0 0
Afyon 7 5 1 1 0 0 0 0 0 0 Kastamonu 6 4 1 1 0 0 0 0 0 0
Ağrı 3 1 1 1 0 0 0 0 0 0 Kayseri 8 4 2 2 0 0 0 0 0 0
Amasya 4 2 1 0 0 0 1 0 0 0 Kırklareli 4 3 1 0 0 0 0 0 0 0
Ankara 24 11 9 1 2 0 1 0 0 0 Kırşehir 3 1 1 0 1 0 0 0 0 0
Antalya 7 5 2 0 0 0 0 0 0 0 Kocaeli 4 3 1 0 0 0 0 0 0 0
Artvin 3 2 1 0 0 0 0 0 0 0 Konya 16 9 4 2 0 0 0 0 0 1
Aydın 7 5 2 0 0 0 0 0 0 0 Kütahya 6 5 1 0 0 0 0 0 0 0
Balıkesir 10 7 3 0 0 0 0 0 0 0 Malatya 6 1 3 0 0 0 1 0 0 1
Bilecik 2 1 1 0 0 0 0 0 0 0 Manisa 11 8 3 0 0 0 0 0 0 0
Bingöl 2 0 0 0 0 0 0 0 1 1 Maraş 6 3 2 0 0 0 0 0 0 1
